TIME,layer1,layer2,layer3,cloud_cover
2010-10-11 13:45:00,NA,NA,NA,0
2010-10-11 14:00:00,NA,NA,NA,0
2010-10-11 14:15:00,NA,NA,NA,0
2010-10-11 14:30:00,NA,NA,NA,0
2010-10-11 14:45:00,NA,NA,NA,0
2010-10-11 15:00:00,NA,NA,NA,0
2010-10-11 15:15:00,NA,NA,NA,0
2010-10-11 15:30:00,NA,NA,NA,0
2010-10-11 15:45:00,NA,NA,NA,0
2010-10-11 16:00:00,NA,NA,NA,0
2010-10-11 16:15:00,NA,NA,NA,0
2010-10-11 16:30:00,NA,NA,NA,0
2010-10-11 16:45:00,7418,NA,NA,1
2010-10-11 17:00:00,7418,NA,NA,2
2010-10-11 17:15:00,7418,NA,NA,0
2010-10-11 17:30:00,NA,NA,NA,0
2010-10-11 17:45:00,NA,NA,NA,0
2010-10-11 18:00:00,NA,NA,NA,0
2010-10-11 18:15:00,NA,NA,NA,0
2010-10-11 18:30:00,NA,NA,NA,0
2010-10-11 18:45:00,NA,NA,NA,0
2010-10-11 19:00:00,NA,NA,NA,0
2010-10-11 19:15:00,608,NA,NA,3
2010-10-11 19:30:00,608,NA,NA,35
2010-10-11 19:45:00,588,NA,NA,78
2010-10-11 20:00:00,568,NA,NA,97
2010-10-11 20:15:00,508,NA,NA,100
2010-10-11 20:30:00,488,NA,NA,100
2010-10-11 20:45:00,478,NA,NA,100
2010-10-11 21:00:00,458,NA,NA,100
2010-10-11 21:15:00,433,NA,NA,100
2010-10-11 21:30:00,418,NA,NA,100
2010-10-11 21:45:00,408,NA,NA,100
2010-10-11 22:00:00,408,NA,NA,100
2010-10-11 22:15:00,408,NA,NA,100
2010-10-11 22:30:00,418,NA,NA,98
2010-10-11 22:45:00,418,NA,NA,84
2010-10-11 23:00:00,408,NA,NA,55
2010-10-11 23:15:00,403,NA,NA,30
2010-10-11 23:30:00,518,NA,NA,28
2010-10-11 23:45:00,568,NA,NA,60
2010-10-12 00:00:00,568,NA,NA,84
2010-10-20 00:15:00,NA,NA,NA,0
2010-10-20 00:30:00,NA,NA,NA,0
2010-10-20 00:45:00,NA,NA,NA,0
2010-10-20 01:00:00,NA,NA,NA,0
2010-10-20 01:15:00,NA,NA,NA,0
2010-10-20 01:30:00,NA,NA,NA,0
2010-10-20 01:45:00,NA,NA,NA,0
2010-10-20 02:00:00,NA,NA,NA,0
2010-10-20 02:15:00,NA,NA,NA,0
2010-10-20 02:30:00,NA,NA,NA,0
2010-10-20 02:45:00,NA,NA,NA,0
2010-10-20 03:00:00,NA,NA,NA,0
2010-10-20 03:15:00,NA,NA,NA,0
2010-10-20 03:30:00,NA,NA,NA,0
2010-10-20 03:45:00,NA,NA,NA,0
2010-10-20 04:00:00,NA,NA,NA,0
2010-10-20 04:15:00,NA,NA,NA,0
2010-10-20 04:30:00,NA,NA,NA,0
2010-10-20 04:45:00,NA,NA,NA,0
2010-10-20 05:00:00,NA,NA,NA,0
2010-10-20 05:15:00,NA,NA,NA,0
2010-10-20 05:30:00,NA,NA,NA,0
2010-10-20 05:45:00,NA,NA,NA,0
2010-10-20 06:00:00,NA,NA,NA,0
2010-10-20 06:15:00,NA,NA,NA,0
2010-10-20 06:30:00,6953,NA,NA,0
2010-10-20 06:45:00,6953,NA,NA,1
2010-10-20 07:00:00,6953,NA,NA,0
2010-10-20 07:15:00,NA,NA,NA,0
2010-10-20 07:30:00,NA,NA,NA,0
2010-10-20 07:45:00,NA,NA,NA,0
2010-10-20 08:00:00,NA,NA,NA,0
2010-10-20 08:15:00,NA,NA,NA,0
2010-10-20 08:30:00,NA,NA,NA,0
2010-10-20 08:45:00,NA,NA,NA,0
2010-10-20 09:00:00,NA,NA,NA,0
2010-10-20 09:15:00,NA,NA,NA,0
2010-10-20 09:30:00,NA,NA,NA,0
2010-10-20 09:45:00,NA,NA,NA,0
2010-10-20 10:00:00,NA,NA,NA,0
2010-10-20 10:15:00,958,NA,NA,0
2010-10-20 10:30:00,958,NA,NA,2
2010-10-20 10:45:00,1088,NA,NA,12
2010-10-20 11:00:00,1108,NA,NA,14
2010-10-20 11:15:00,1188,NA,NA,6
2010-10-20 11:30:00,1188,NA,NA,4
2010-10-20 11:45:00,1333,NA,NA,8
2010-10-20 12:00:00,1333,NA,NA,16
2010-10-20 12:15:00,1378,NA,NA,22
2010-10-20 12:30:00,1383,NA,NA,17
2010-10-20 12:45:00,1398,NA,NA,16
2010-10-20 13:00:00,1398,NA,NA,13
2010-10-20 13:15:00,1438,NA,NA,1
2010-10-20 13:30:00,NA,NA,NA,0
2010-10-20 13:45:00,NA,NA,NA,0
2010-10-20 14:00:00,NA,NA,NA,0
2010-10-20 14:15:00,NA,NA,NA,0
2010-10-20 14:30:00,NA,NA,NA,0
2010-10-20 14:45:00,NA,NA,NA,0
2010-10-20 15:00:00,NA,NA,NA,0
2010-10-20 15:15:00,NA,NA,NA,0
2010-10-20 15:30:00,NA,NA,NA,0
2010-10-20 15:45:00,NA,NA,NA,0
2010-10-20 16:00:00,NA,NA,NA,0
2010-10-20 16:15:00,NA,NA,NA,0
2010-10-20 16:30:00,NA,NA,NA,0
2010-10-20 16:45:00,NA,NA,NA,0
2010-10-20 17:00:00,NA,NA,NA,0
2010-10-20 17:15:00,NA,NA,NA,0
2010-10-20 17:30:00,NA,NA,NA,0
2010-10-20 17:45:00,NA,NA,NA,0
2010-10-20 18:00:00,NA,NA,NA,0
2010-10-20 18:15:00,NA,NA,NA,0
2010-10-20 18:30:00,NA,NA,NA,0
2010-10-20 18:45:00,NA,NA,NA,0
2010-10-20 19:00:00,NA,NA,NA,0
2010-10-20 19:15:00,NA,NA,NA,0
2010-10-20 19:30:00,NA,NA,NA,0
2010-10-20 19:45:00,NA,NA,NA,0
2010-10-20 20:00:00,NA,NA,NA,0
2010-10-20 20:15:00,NA,NA,NA,0
2010-10-20 20:30:00,NA,NA,NA,0
2010-10-20 20:45:00,NA,NA,NA,0
2010-10-20 21:00:00,NA,NA,NA,0
2010-10-20 21:15:00,NA,NA,NA,0
2010-10-20 21:30:00,NA,NA,NA,0
2010-10-20 21:45:00,NA,NA,NA,0
2010-10-20 22:00:00,NA,NA,NA,0
2010-10-20 22:15:00,NA,NA,NA,0
2010-10-20 22:30:00,NA,NA,NA,0
2010-10-20 22:45:00,NA,NA,NA,0
2010-10-20 23:00:00,NA,NA,NA,0
2010-10-20 23:15:00,NA,NA,NA,0
2010-10-20 23:30:00,NA,NA,NA,0
2010-10-20 23:45:00,NA,NA,NA,0
2010-10-21 00:00:00,NA,NA,NA,0
2010-10-25 00:15:00,NA,NA,NA,0
2010-10-25 00:30:00,NA,NA,NA,0
2010-10-25 00:45:00,NA,NA,NA,0
2010-10-25 01:00:00,NA,NA,NA,0
2010-10-25 01:15:00,NA,NA,NA,0
2010-10-25 01:30:00,NA,NA,NA,0
2010-10-25 01:45:00,NA,NA,NA,0
2010-10-25 02:00:00,NA,NA,NA,0
2010-10-25 02:15:00,NA,NA,NA,0
2010-10-25 02:30:00,NA,NA,NA,0
2010-10-25 02:45:00,NA,NA,NA,0
2010-10-25 03:00:00,NA,NA,NA,0
